Len,PSL_MPS,MF_MPS,Optimal_MPS,PSL_MF,MF_MF,Optimal_or_Best_MF
2,1,2,0,1,2,0
3,1,4.5,3,1,4.5,3
4,1,4,2,1,4,2
5,1,6.25,02,1,6.25,02
6,2,2.571,0B,2,2.571,0B
7,1,8.167,0D,1,8.167,0D
8,2,4,16,2,4,16
9,2,3.375,029,2,3.375,029
10,2,3.846,076,2,3.846,076
11,1,12.1,0ED,1,12.1,0ED
12,2,7.2,0A6,2,7.2,0A6
13,1,14.083,00CA,1,14.083,00CA
14,2,5.158,019A,2,5.158,019A
15,2,4.891,0329,3,7.5,7CCA
16,2,4.571,1DDA,3,5.333,D2EE
17,2,4.516,0192B,2,4.516,0192B
18,2,6.48,0168C,2,6.48,0168C
19,2,4.878,07112,3,6.224,7A864
20,2,5.263,04D4E,3,7.692,FA2C6
21,2,6.485,005D39,3,8.481,180CA9
22,3,6.205,013538,3,6.205,013538
23,3,5.628,084BA3,3,5.628,084BA3
24,3,8,31FAB6,3,8,31FAB6
25,2,7.102,031FAB6,3,8.681,1C7F526
26,3,7.511,07015B2,3,7.511,07015B2
27,3,9.851,0F1112D,3,9.851,0F1112D
28,2,7.84,1E2225B,2,7.84,1E2225B
29,3,6.782,031FD5B2,3,6.782,031FD5B2
30,3,7.627,03F6D5CE,3,7.627,03F6D5CE
31,3,7.172,00E326A5,3,7.172,00E326A5
32,3,7.111,01E5AACC,4,8,FEB51CD9
33,3,8.508,003CB5599,3,8.508,003CB5599
34,3,8.892,0CC01E5AA,3,8.892,0CC01E5AA
35,4,7.562,0CC01E5AA,4,8.39,7F64D4AE3
36,3,6.894,3314A083E,4,7.902,E073AEDAD
37,3,6.985,006C94A8E7,4,7.959,1FE1E5AA66
38,3,8.299,003C34AA66,3,8.299,003C34AA66
39,3,6.391,13350BEF3C,5,7.682,7F92D8F1AA
40,3,7.407,2223DC3A5A,3,7.407,2223DC3A5A
41,3,7.504,038EA520364,5,7.782,1C3AA66012D
42,3,8.733,04447B874B4,3,8.733,04447B874B4
43,3,6.748,005B2ACCE1C,5,8.482,765B0153862
44,3,6.286,202E2714B96,4,7.934,C1F30422535
45,3,6.575,02AF0CC6DBF6,5,8.581,1FE4B6270E55
46,3,6.491,03C0CF7B6556,4,8.076,3FCE1D896CAA
47,3,7.126,069A7E851988,4,8.181,61B0DDD10A50
48,3,6.128,24AC8847B87C,4,8.229,C3CC6D1B5402
49,4,8.827,05E859E984451,4,8.827,05E859E984451
50,4,8.17,07837FB996B2A,4,8.17,07837FB996B2A
51,3,7.517,0E3F88C89524B,5,8.5,63C6A1117E4B6
52,4,8.145,50AE3808C8DB6,4,8.145,50AE3808C8DB6
53,4,7.89,07C0CFBDB4CD56,5,8.262,19FFC3CCD2D559
54,4,7.327,116E1DF7D2C6E6,5,8.331,300661C5D66A52
55,4,7.451,1658A2BC0A133B,7,8.845,7FC9392F1B1CAA
56,4,8.167,0C790164F6752A,4,8.167,0C790164F6752A
57,4,7.963,01B4DE3455B93BF,7,8.641,1C6303AB012B26D
58,4,8.538,008D89574E1349E,4,8.538,008D89574E1349E
59,4,8.328,1CAD63EFF126A2E,5,8.49,61B4DE3455B93BF
60,4,8.108,119D01522ED3C34,6,8.257,CD33A79757B5F80
61,4,7.563,0024BA568EB83731,6,8.232,1DEFCE255D6C1F92
62,4,8.179,000C67247C59568B,4,8.179,000C67247C59568B
63,4,9.587,1B3412F0501539CE,5,9.587,1B3412F0501539CE
64,4,9.846,26C9FD5F5A1D798C,4,9.846,26C9FD5F5A1D798C
65,4,8.252,04015762C784EC369,5,8.802,0319EB85AFABF9364
66,4,7.751,03FEF2CCB0B8CAC54,6,8.475,0F07995533FF996B4
67,4,7.766,073C2FADC44255264,7,9.313,000F631E169362D55
68,4,8.438,562B8CA48E0C9027E,5,9.248,FFD0B564E4D74798E
69,4,7.988,0292582AC6A767CC03,6,8.688,0002F4A9B1B28671
70,4,7.313,01C2FFD4AF33356596,6,8.305,0F61EC20332A2C5A74
71,4,8.105,12493BE76A5EE2A3F1,5,9.165,1EC3D840665458B4E9
72,4,7.2,27C8D6E165A71577FE,5,8.64,33CCD84D05FDE1EBD5
73,4,8.327,012DE781C9167577AB7,6,8.651,01FC677F7A4A2CB972A
74,4,7.039,00ABFA66C560E3094C2,6,8.029,06193EFB2B3DA91F42E
75,4,7.878,0E0038AEB50B59C99B6,6,8.549,00A0AF0E350EE646DB2
76,4,7.113,2CD864E4AA90B8073DE,5,8.647,01415E1C6A1DCC8DB64
77,4,6.959,066B7BDB752AA6F80E3C,11,8.281,00901E934C8CF385AB8A
78,4,7.548,0C4852361E77C0574BAC,5,8.767,01C771D006C9293B51AB
79,4,7.308,0028AE35C3A59AC4ED89,6,9.205,7F36491D815A531AA871
80,4,6.349,01A4F07798EA85AE6C48,7,9.091,FFE81E89A8D1C665A9A5
81,4,7.594,076375955A2F0C69004F9,6,8.819,07A8E3FAA5F7968836676
82,4,6.554,3CB25D380CE3B7765695F,5,8.918,003F70E1112351D4ECB69
