N,best_energy,merit_factor,energy_evals,best_s
10,13,3.8461538461538463,200220,1 -1 1 -1 -1 -1 -1 1 1 -1
20,26,7.6923076923076925,200120,1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1
30,67,6.7164179104477615,201087,1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 1 1 -1
40,120,6.666666666666667,200070,1 -1 1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 1 -1 1 1 -1 -1 1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1
50,209,5.980861244019139,200060,1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1
60,346,5.202312138728324,204054,-1 -1 1 -1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 1 1 1 1 1
66,393,5.541984732824427,204651,-1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 -1 1 1 -1 1 -1 1 -1 -1 1 -1 1 1
70,463,5.291576673866091,203049,1 -1 1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 1 1 -1 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1
82,609,5.5205254515599345,205045,-1 1 1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 -1 -1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 -1 -1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 1
15,15,7.5,201154,1 -1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1
